Inflight wifi service,Online boarding,Age,Flight Distance,Baggage handling,Checkin service,Loyal Customer,Seat comfort,Business Travel,Inflight entertainment
2,5,47,2854,5,4,1,4,1,5
0,0,47,726,4,4,1,1,0,1
3,3,13,1145,4,1,1,3,0,3
2,2,18,516,3,2,1,1,0,1
5,4,42,3893,5,4,1,4,1,5
3,3,35,2496,2,2,1,1,0,1
2,2,25,299,4,1,1,3,0,3
4,4,22,1389,4,3,0,2,1,2
1,5,23,545,5,5,1,5,1,5
3,3,51,86,3,3,1,2,1,1
2,2,40,164,3,1,1,2,1,2
2,2,34,261,4,3,0,5,1,5
3,5,65,340,4,5,1,5,1,4
4,4,35,1017,5,2,1,3,1,5
3,3,39,296,4,4,0,5,1,5
2,4,18,3172,5,5,1,4,1,4
1,1,47,918,2,3,1,1,1,1
3,3,38,459,4,4,0,5,1,5
2,2,37,223,4,4,0,3,1,4
3,3,41,153,5,4,1,4,0,4
1,5,72,853,5,5,1,4,1,5
4,5,30,2021,4,3,1,5,1,5
1,1,39,480,5,3,0,4,1,1
2,4,31,3845,5,5,1,5,1,3
5,5,42,257,3,2,1,5,1,5
0,4,38,2948,5,3,1,2,1,5
2,5,66,450,5,4,1,4,0,4
3,3,38,293,4,4,0,3,1,3
2,2,42,328,5,4,1,3,0,3
3,3,28,2327,4,3,1,3,1,1
4,1,43,874,4,2,1,3,1,4
3,3,18,1314,4,4,0,3,1,5
1,1,8,297,5,5,1,4,0,4
2,2,19,1175,4,3,0,4,1,4
2,4,52,2228,5,5,1,4,1,5
1,1,37,463,4,4,0,3,1,3
2,2,17,403,4,2,0,5,1,5
3,4,49,1129,2,4,1,5,0,2
2,4,50,247,4,5,1,4,1,4
5,4,44,2350,5,5,1,4,1,5
2,4,49,175,2,2,1,4,1,2
3,3,21,326,3,4,1,1,0,1
1,0,41,358,2,4,0,3,1,3
3,3,71,2289,3,3,1,4,1,3
4,5,39,3304,5,3,1,2,1,5
2,2,16,447,5,3,1,4,0,3
3,4,30,3998,1,2,1,4,1,4
1,5,54,3730,4,3,1,4,1,4
2,2,42,273,3,1,1,5,0,5
5,5,24,247,4,5,0,2,1,2
2,2,26,451,3,2,0,4,1,2
2,5,29,1616,5,5,1,5,1,5
3,3,66,337,4,3,1,1,0,1
1,4,61,3037,5,3,1,3,1,5
2,2,24,1476,1,3,1,1,1,2
3,3,32,258,4,4,1,5,0,5
2,5,49,255,5,5,1,4,1,5
3,4,24,1079,4,3,0,3,1,3
3,3,13,1300,2,4,1,3,0,3
2,3,25,1112,5,3,0,3,1,3
1,1,18,2521,5,5,1,2,0,2
2,2,25,825,3,3,0,5,1,1
1,2,22,3958,4,3,1,1,1,1
3,2,59,121,3,4,1,5,0,4
1,5,47,353,3,3,1,4,0,3
2,4,55,2129,4,4,1,5,1,4
2,4,44,2078,4,5,1,5,1,4
2,2,65,403,5,4,1,5,0,5
4,3,22,277,5,4,1,2,0,1
2,2,22,1009,2,1,0,2,1,2
2,2,16,489,4,2,0,4,1,4
5,4,26,2833,4,3,1,5,1,5
2,4,50,3397,2,4,1,3,1,4
3,4,38,783,3,5,1,4,0,3
3,4,41,419,4,2,1,1,1,4
4,5,28,503,4,4,1,5,1,5
1,3,68,547,2,5,1,5,0,2
2,3,62,250,2,1,1,3,1,2
4,4,61,484,5,1,1,4,1,4
5,5,54,1521,3,5,1,5,1,3
2,2,38,987,3,2,1,4,0,4
2,4,48,405,2,5,1,4,0,1
1,5,44,1771,4,5,1,5,1,4
4,4,38,130,4,3,0,1,1,1
1,2,36,3645,5,2,1,2,1,5
0,0,22,507,5,4,0,3,1,3
2,2,30,600,4,4,1,5,0,5
4,4,37,475,5,4,1,4,1,1
5,5,58,1926,3,3,1,5,1,3
3,3,47,448,5,1,1,2,0,5
3,3,56,1838,4,4,1,5,0,5
1,2,24,3516,4,4,1,2,1,2
2,2,12,1670,5,4,1,1,0,1
1,1,39,1454,5,5,1,4,0,4
3,3,23,1165,4,3,0,5,1,5
4,4,39,2308,1,3,1,4,1,1
4,4,49,110,1,5,1,5,0,5
1,4,57,596,5,2,1,4,0,5
1,3,66,391,1,5,1,2,0,1
4,4,33,404,4,3,0,3,1,3
3,3,22,533,4,3,0,4,1,4
2,2,39,833,3,2,0,3,1,3
3,5,47,1854,4,5,1,4,1,4
1,1,26,554,4,1,0,1,1,1
5,3,44,429,3,3,1,1,0,3
5,3,43,1136,5,3,1,4,1,5
4,4,50,4983,4,4,1,4,1,2
3,4,37,1692,3,2,1,4,1,3
2,2,38,776,5,3,1,3,0,1
2,4,44,1879,4,3,1,5,1,4
3,5,51,1360,5,3,1,3,1,5
2,5,29,1709,4,5,1,5,1,5
3,3,52,577,3,2,1,3,1,3
1,1,7,735,4,5,1,2,0,2
3,4,44,2620,5,3,1,4,1,5
1,5,48,1943,5,4,1,5,1,5
2,4,44,646,3,2,1,3,0,3
2,2,15,1652,2,1,1,2,1,2
5,2,34,2818,5,1,1,3,1,5
1,1,32,174,5,5,0,4,1,4
3,3,26,1075,3,2,1,4,0,4
3,4,21,900,2,3,1,1,0,3
1,0,30,3101,3,4,1,3,1,3
3,4,55,936,4,4,1,5,1,4
4,5,49,1671,3,5,1,1,0,3
2,3,48,1747,4,5,1,5,1,4
1,1,21,447,5,3,1,2,0,2
2,4,43,759,2,3,1,4,0,2
2,5,69,488,5,3,1,4,0,5
0,5,58,237,5,4,1,5,1,5
3,3,54,944,3,1,1,1,0,3
1,4,39,1426,5,4,1,4,1,5
4,2,72,1084,4,1,1,3,1,4
1,0,21,1119,3,2,1,4,0,4
4,4,26,860,3,4,1,3,1,4
4,5,20,86,3,1,0,2,1,2
2,2,31,2525,4,1,1,2,1,2
4,5,26,842,4,1,1,3,0,3
3,4,45,901,3,4,1,2,0,3
4,4,26,760,4,5,0,1,1,1
2,4,40,2850,2,3,1,3,1,2
5,4,44,899,2,4,1,4,1,4
3,3,57,1190,4,4,1,5,0,5
5,5,30,1010,5,5,1,5,1,5
4,4,34,1871,5,3,1,4,1,5
3,3,26,457,2,4,1,4,0,4
1,1,22,561,5,4,0,4,1,4
1,1,37,2012,4,4,1,4,1,4
4,4,43,2079,4,4,0,1,1,1
5,5,60,1555,5,5,1,5,1,3
5,4,58,1050,4,4,1,5,1,4
2,5,51,757,5,5,1,5,1,5
3,1,50,896,3,1,1,3,1,3
3,3,19,991,5,3,1,1,0,1
3,3,39,337,3,4,1,5,0,5
2,2,46,529,5,4,1,2,0,2
3,3,25,919,3,3,1,5,0,5
4,5,30,2378,5,5,1,5,1,5
2,3,12,930,3,3,1,1,1,2
4,4,57,404,5,3,1,4,1,4
4,4,43,1608,4,3,1,5,1,4
4,5,47,3311,3,4,1,4,1,3
2,3,39,3948,2,3,1,4,1,2
2,2,24,2556,3,2,1,2,1,4
5,4,51,542,5,1,1,5,1,5
2,2,33,109,1,1,1,4,0,4
2,2,11,1208,1,1,1,4,0,4
4,4,20,414,5,3,1,3,0,3
3,2,22,448,5,2,0,2,1,4
2,2,40,241,3,2,1,2,1,2
3,5,58,500,4,5,1,3,0,3
2,3,40,573,4,2,1,2,1,2
2,5,62,164,4,5,1,4,0,4
4,5,65,419,3,3,1,2,0,3
3,4,40,787,4,3,1,5,1,4
0,0,12,594,3,1,1,1,0,1
5,5,32,1609,3,3,1,5,1,5
3,4,65,1009,4,4,1,5,1,4
3,3,48,89,5,1,1,3,0,5
1,4,30,2175,5,5,1,5,1,5
2,2,59,106,5,1,1,1,0,1
3,3,20,984,4,3,0,2,1,2
5,5,26,817,1,2,0,4,1,1
3,5,53,3716,4,5,1,4,1,4
5,5,42,3363,5,5,1,5,1,5
1,2,55,1416,2,1,1,5,0,5
1,1,23,948,3,2,0,3,1,3
2,2,66,2611,3,2,0,5,1,5
2,4,29,326,5,4,1,4,1,4
3,4,42,1908,4,3,1,5,1,4
3,5,58,787,1,5,1,4,0,2
2,4,58,215,4,4,1,4,0,3
1,1,9,371,3,4,1,4,0,4
2,4,68,2131,3,5,1,3,1,5
3,5,41,1180,4,5,1,5,1,3
2,3,33,500,2,4,1,3,1,2
3,3,22,594,4,4,0,4,1,4
1,1,40,761,4,4,1,5,0,5
3,4,42,2419,5,3,1,5,1,5
5,4,52,3512,3,3,1,4,1,3
3,3,9,1620,5,3,1,3,0,3
2,2,36,912,4,5,1,3,0,3
3,3,9,3868,3,3,1,3,1,3
4,5,46,407,4,1,1,5,1,4
3,3,24,290,4,5,0,5,1,3
3,5,14,3207,5,4,1,5,1,5
4,4,65,387,4,2,0,1,1,1
2,2,15,200,3,2,1,2,1,1
1,4,67,1947,1,3,1,5,0,1
2,1,68,125,1,2,1,5,0,1
2,2,26,668,4,2,1,1,0,1
2,2,43,3876,2,4,1,3,1,2
1,5,42,2824,5,3,1,4,1,5
3,4,45,2475,4,5,1,5,0,4
5,5,40,266,1,2,1,5,1,5
4,4,54,834,3,4,1,4,1,4
1,1,19,449,3,2,1,3,0,3
5,5,21,1107,3,4,1,4,0,4
4,4,47,2611,3,4,1,4,1,2
2,2,70,909,5,3,1,2,0,5
4,4,24,228,4,5,0,2,1,2
4,1,36,3065,4,4,1,2,1,4
2,4,60,3123,2,4,1,3,1,2
5,5,30,3875,4,4,1,5,1,5
3,3,24,1241,4,3,0,3,1,3
3,3,42,3868,4,1,1,1,1,4
3,2,26,2295,4,2,1,2,1,3
2,2,37,1171,3,3,1,4,0,4
2,2,49,179,1,3,1,3,0,1
3,0,43,192,5,4,1,1,0,1
2,2,41,3500,3,2,1,2,1,5
4,4,68,325,4,1,1,4,1,4
4,5,34,594,5,5,1,5,1,5
2,1,65,1773,3,4,1,3,0,3
2,4,55,2587,5,4,1,5,1,5
3,4,34,2692,5,3,1,5,1,5
3,2,69,429,5,3,1,4,0,5
3,3,24,132,2,4,0,3,1,3
2,2,42,213,5,5,0,1,1,1
3,3,68,668,4,4,1,3,0,5
3,3,17,631,4,3,0,4,1,4
3,3,33,594,5,4,1,4,1,4
1,4,36,3365,4,4,1,4,1,3
2,4,50,602,2,2,1,3,1,2
2,5,43,2815,4,5,1,4,1,4
3,3,12,364,3,3,1,5,0,5
1,5,46,3824,5,4,1,5,1,5
4,4,47,1166,3,5,1,4,0,4
3,5,57,2568,3,4,1,4,1,3
3,4,32,907,5,4,1,5,0,5
3,1,49,3269,3,4,1,2,1,3
1,4,40,3698,5,3,1,4,1,5
0,4,65,404,4,5,1,4,0,4
3,4,42,247,5,3,1,5,1,5
2,2,59,1916,3,5,1,2,0,2
4,4,60,67,4,3,1,3,1,3
4,4,66,223,5,3,1,1,0,1
2,2,60,305,5,4,1,3,0,3
1,4,34,2570,1,4,1,4,1,1
2,2,20,1587,3,4,0,5,1,5
3,4,65,1514,3,4,1,4,0,3
2,2,52,73,3,1,1,2,1,2
2,2,37,425,2,3,0,4,1,1
4,4,69,406,2,5,1,5,0,2
4,4,12,208,4,3,1,5,0,1
3,3,21,209,4,1,1,2,1,3
2,2,36,733,5,4,0,1,1,1
1,1,46,2637,3,1,1,1,1,1
0,5,60,247,5,3,1,5,1,5
3,3,58,2615,4,2,1,2,0,4
1,5,28,954,1,1,1,5,1,5
3,4,40,3635,2,3,1,5,1,2
5,4,35,772,4,5,1,5,1,4
0,5,53,1299,3,4,1,4,0,3
1,3,56,1444,1,1,1,4,1,1
1,3,65,200,1,1,1,3,1,2
3,3,17,368,3,4,0,5,1,5
5,4,59,3064,5,4,1,4,1,5
5,5,35,1598,4,3,1,5,1,5
3,3,13,1121,4,4,1,1,0,1
3,4,48,986,3,2,1,4,1,3
2,2,25,3431,3,3,1,2,1,2
3,3,69,74,3,1,1,4,1,3
3,3,24,308,4,3,0,3,1,3
4,5,25,603,5,5,0,5,1,5
1,1,29,852,3,1,0,5,1,5
5,5,37,228,2,3,1,4,0,2
1,4,60,431,1,2,1,3,1,1
5,4,30,630,5,3,1,4,1,4
2,2,63,302,5,5,1,5,0,5
5,5,48,773,5,5,0,1,1,1
3,4,22,1182,5,3,0,5,1,5
3,4,44,859,2,4,1,4,0,2
3,3,69,2446,4,5,1,3,0,3
2,2,56,731,4,2,1,1,0,1
4,4,59,2556,5,4,1,4,1,4
0,5,35,1676,5,3,1,4,1,5
2,4,38,2193,4,3,1,5,1,4
4,5,45,733,4,2,1,1,0,3
1,4,41,3945,5,3,1,5,1,5
3,3,27,479,3,4,1,2,0,5
3,4,43,362,3,2,1,4,1,3
4,5,36,809,1,5,1,4,1,4
2,4,54,667,3,3,1,4,1,3
3,3,42,246,1,3,0,2,1,2
2,5,45,1346,4,3,1,4,1,4
4,4,32,337,5,3,1,4,0,4
0,5,46,129,2,2,1,3,1,2
1,1,22,458,4,5,1,4,0,4
1,5,54,157,5,4,1,5,1,4
5,5,25,702,4,3,0,3,1,3
2,2,59,1517,4,4,1,3,0,3
2,2,29,163,3,1,0,5,1,5
2,2,35,2405,1,5,0,2,1,2
3,3,48,236,5,5,1,2,0,3
2,4,27,692,5,5,1,4,1,4
1,1,13,1504,1,1,1,5,0,5
3,3,35,692,3,5,0,1,1,1
3,3,54,601,3,3,1,4,1,3
3,4,45,874,4,5,1,5,1,4
3,5,49,270,4,3,1,4,1,4
4,4,37,404,4,3,0,1,1,1
3,2,54,2386,3,4,1,2,1,3
1,5,48,296,5,4,1,4,1,5
1,3,47,452,5,3,1,3,0,5
3,3,48,305,5,5,0,1,1,1
4,4,36,445,5,3,1,4,0,4
1,1,29,603,4,4,1,4,0,4
5,5,57,220,1,4,1,5,0,5
2,2,42,427,3,5,0,5,1,5
5,4,29,2928,1,5,1,5,1,5
1,1,22,651,3,3,1,1,1,1
5,4,24,251,5,4,1,4,1,4
5,2,58,627,5,3,1,1,1,5
2,2,18,569,4,2,0,2,1,2
1,1,18,1010,3,1,0,3,1,3
4,5,46,1773,4,3,1,5,1,4
1,1,45,651,4,1,1,1,1,1
1,1,30,693,5,4,1,4,0,5
4,5,39,1969,2,5,1,4,1,2
2,2,38,1180,5,3,0,5,1,5
1,5,57,2238,4,5,1,5,1,4
4,4,50,1185,5,3,1,3,1,3
2,2,28,1214,4,2,0,4,1,4
4,3,50,2917,5,3,1,3,0,4
3,3,19,631,5,5,1,5,0,5
3,4,40,612,4,3,1,5,1,4
4,5,59,2218,5,5,1,5,1,5
1,1,45,1592,2,4,1,1,1,1
3,4,42,2301,5,3,1,4,1,5
4,4,29,926,4,5,1,4,0,4
2,3,16,199,4,3,0,2,1,2
2,2,27,1346,3,3,1,2,0,2
4,4,54,952,3,4,1,5,1,5
3,3,40,628,3,2,0,3,1,3
3,3,42,1463,5,4,1,1,0,1
2,4,30,1024,3,5,1,4,1,4
4,2,58,496,4,3,1,2,1,4
2,5,48,3385,5,4,1,4,1,5
4,5,30,2168,1,3,1,5,1,5
3,4,52,3280,5,3,1,3,1,5
2,3,34,552,2,1,1,4,1,2
4,4,36,3470,2,4,1,5,1,2
4,4,51,429,5,3,1,5,1,5
5,4,45,365,2,5,1,4,1,2
2,3,37,3497,2,2,1,3,1,2
4,4,39,937,5,4,1,4,1,5
3,3,42,595,3,3,1,4,1,3
3,4,49,1669,5,4,1,4,1,5
2,2,30,2713,3,4,1,2,1,2
4,4,48,606,5,3,0,1,1,4
5,3,22,3683,1,1,1,3,1,3
4,5,49,2432,2,3,1,4,1,2
4,4,40,733,3,1,1,4,0,5
5,2,32,391,4,1,1,2,1,2
3,4,49,867,5,4,1,1,1,5
3,3,37,119,3,4,0,3,1,4
3,3,30,2050,4,1,1,3,1,3
3,3,49,296,5,5,1,1,0,1
1,5,34,3389,5,5,1,5,1,5
1,5,58,1599,4,4,1,5,1,4
2,3,51,579,3,2,1,2,1,3
2,5,50,563,2,3,1,4,0,2
3,4,30,3142,5,3,1,5,1,4
2,2,22,1660,3,4,1,2,0,2
5,5,10,852,4,3,1,2,0,2
0,0,42,585,5,4,1,3,0,3
1,1,66,1598,4,5,1,2,0,2
2,3,41,1562,4,1,1,3,0,3
3,4,60,3980,3,3,1,3,1,3
4,4,16,956,4,3,1,2,1,4
3,3,36,227,5,3,1,2,0,2
1,1,35,802,5,4,1,2,0,2
4,0,24,240,5,3,1,2,0,2
0,4,60,216,2,2,1,4,1,2
1,5,58,3399,5,4,1,4,1,5
3,3,23,986,3,4,0,4,1,5
5,5,62,2228,4,2,1,2,1,5
3,3,21,1562,3,1,1,4,0,4
0,0,9,782,5,5,1,4,0,4
3,3,14,545,4,3,1,1,0,1
4,4,33,1173,2,2,1,4,1,4
3,5,59,2645,3,5,1,4,1,3
3,5,58,679,5,3,1,4,1,5
0,0,26,319,3,2,1,3,0,3
4,5,48,719,4,3,1,4,1,4
4,4,36,611,2,3,0,1,1,1
4,1,63,163,4,3,1,5,1,4
3,5,47,2288,4,3,1,5,1,4
3,3,51,674,2,4,1,4,1,4
1,1,32,873,5,3,0,2,1,2
1,1,41,250,3,2,1,3,0,3
2,5,46,1570,3,3,1,4,1,3
1,1,70,785,2,2,0,1,1,1
5,5,43,2328,5,3,1,4,1,5
3,4,46,1180,4,5,1,5,1,4
2,5,51,680,5,5,1,5,0,5
2,5,60,1990,4,3,1,5,1,4
2,2,15,235,4,4,1,1,0,1
5,5,34,539,2,5,1,5,1,2
3,5,49,1121,4,4,1,4,1,4
4,4,46,566,3,4,1,3,1,3
3,3,30,948,1,2,0,5,1,5
3,3,26,145,1,1,0,5,1,5
5,4,17,607,4,3,1,2,0,2
3,3,30,3092,1,1,1,3,1,3
1,4,67,483,1,4,1,5,0,2
3,3,34,872,3,5,1,1,0,2
5,5,43,2417,5,3,1,5,1,5
5,4,36,373,5,5,1,4,1,5
2,2,31,1501,5,1,1,2,0,3
2,1,50,391,5,4,1,4,0,5
0,3,58,421,4,3,1,3,0,4
4,4,18,1901,3,1,1,4,1,4
3,3,11,335,5,4,1,1,0,1
2,2,49,402,3,2,1,2,1,3
1,4,52,2747,3,5,1,4,1,3
1,5,52,2405,4,5,1,5,1,4
5,4,44,2589,4,3,1,4,1,4
3,1,55,2475,5,5,1,5,0,3
4,4,56,1848,3,5,1,5,1,3
3,3,16,174,4,4,0,4,1,4
4,4,15,468,4,5,1,5,0,5
3,3,22,1118,5,3,1,1,0,1
2,2,18,1009,3,2,0,4,1,4
4,5,51,3462,4,5,1,4,1,4
0,4,55,3055,4,5,1,5,1,4
2,3,26,1195,5,4,1,2,0,2
4,4,34,689,4,3,1,1,0,3
5,5,22,605,3,3,1,5,1,5
4,4,56,1778,2,5,1,4,1,2
1,3,61,787,1,4,1,3,1,1
1,1,15,139,4,2,1,5,0,5
5,5,40,500,5,4,1,4,1,5
4,3,22,528,5,3,0,2,1,2
1,1,15,761,4,2,0,5,1,5
5,1,45,181,5,2,1,5,1,5
2,2,33,588,5,5,1,5,0,5
2,2,43,632,5,4,1,5,0,3
5,5,41,641,3,1,1,5,1,5
2,2,43,1587,5,5,0,5,1,5
1,1,34,271,4,3,1,1,0,1
2,2,80,201,5,2,0,4,1,4
4,0,20,255,4,2,1,3,0,3
2,2,42,888,4,5,0,5,1,5
2,5,45,2638,3,5,1,5,1,3
3,3,44,257,4,4,0,4,1,4
2,2,15,1043,4,2,0,5,1,5
4,4,28,696,5,3,0,5,1,5
4,4,33,302,4,4,1,4,1,4
1,1,16,1077,4,4,0,2,1,1
3,3,28,522,4,2,0,4,1,4
2,4,44,2134,5,4,1,5,1,4
3,4,45,1041,3,3,1,4,1,3
4,4,53,517,4,1,1,4,1,4
2,5,40,1036,4,5,1,4,1,4
3,5,33,3723,4,4,1,4,1,4
4,1,21,1178,4,2,0,2,1,3
3,4,22,596,2,5,1,5,1,5
1,1,36,997,4,3,1,1,0,1
2,2,29,868,3,4,0,5,1,3
0,0,15,1609,5,3,1,5,1,5
4,3,46,1616,5,5,1,5,1,5
4,4,66,2586,5,4,1,4,0,5
4,4,47,77,3,3,0,1,1,1
1,4,48,1391,2,3,1,5,1,2
3,2,28,1407,5,3,1,2,1,2
5,5,22,927,2,5,0,1,1,1
2,5,55,486,4,3,1,4,0,4
5,4,40,1371,5,5,1,4,1,5
5,4,59,192,1,5,1,5,0,1
3,3,46,1052,3,3,1,3,1,3
4,4,56,349,1,5,0,4,1,1
0,5,42,268,3,4,1,4,1,3
3,5,15,2860,2,3,1,5,1,5
3,3,59,337,4,1,1,3,1,3
3,3,65,550,4,2,1,3,1,3
2,2,7,1172,3,1,1,2,0,2
2,5,47,1205,4,4,1,5,0,4
2,0,22,239,3,3,1,2,0,2
2,2,42,236,2,2,1,4,0,3
1,1,42,1618,4,3,0,2,1,2
4,4,26,719,5,3,0,5,1,5
2,2,26,299,4,4,0,3,1,3
3,3,9,828,4,4,1,4,0,5
2,2,59,2296,4,4,1,3,0,4
3,3,32,261,3,4,0,3,1,3
2,5,52,1464,2,4,1,5,1,2
1,1,57,599,1,1,1,3,0,3
1,5,58,813,3,5,1,5,1,3
1,4,47,3271,5,3,1,5,1,5
3,4,32,196,4,4,0,3,1,3
2,3,57,507,4,5,1,5,0,5
1,1,26,301,1,1,0,3,1,4
5,4,51,561,5,5,1,4,1,5
1,1,20,746,3,3,1,5,0,5
5,5,36,460,4,3,1,5,1,5
4,4,48,1721,5,5,1,4,1,4
4,4,25,834,4,4,0,3,1,3
2,2,39,292,2,3,1,2,1,2
5,0,39,89,4,4,0,1,1,1
5,4,21,1407,5,4,1,4,1,4
2,2,39,488,2,1,1,1,0,3
3,1,45,3640,5,3,1,2,1,5
2,4,53,1846,5,5,1,4,1,5
1,5,41,327,5,5,1,5,1,5
2,2,37,247,4,4,0,3,1,3
3,3,32,929,5,4,1,4,0,4
4,3,38,67,4,4,1,4,1,3
1,1,22,2475,3,2,1,3,1,1
1,5,44,978,4,4,1,5,1,4
3,3,26,2052,4,4,0,3,1,2
3,5,29,455,4,1,1,2,0,2
2,2,48,1183,2,3,1,2,1,2
4,4,32,1788,4,3,1,4,1,4
4,4,25,2504,5,4,1,4,1,3
5,5,25,719,5,4,0,4,1,2
0,0,30,314,1,4,0,2,1,2
2,3,23,3350,5,5,1,3,1,3
3,3,28,985,3,1,1,3,1,3
5,4,38,1190,3,2,1,5,1,5
2,3,11,1282,5,5,1,2,0,2
1,4,60,581,4,4,1,4,1,4
3,3,65,1211,5,4,1,1,0,1
1,0,26,3106,2,2,1,2,1,3
4,4,26,331,4,3,0,4,1,3
1,5,62,101,3,1,1,5,1,4
1,0,46,1750,1,1,1,3,0,3
2,2,32,175,4,5,1,1,0,1
1,0,19,726,4,1,1,1,0,1
0,0,28,991,4,2,1,2,1,2
3,3,54,134,5,3,0,4,1,4
4,4,44,175,2,3,1,4,0,2
3,3,39,200,4,4,1,2,0,2
4,0,70,268,1,3,1,4,0,4
3,4,57,3852,4,4,1,5,1,4
5,5,16,1715,4,2,1,5,1,5
1,4,39,2227,5,3,1,5,1,5
2,4,53,196,2,3,1,4,1,2
0,4,50,248,5,4,1,5,1,5
1,1,26,2556,4,4,0,4,1,4
3,2,65,1199,4,3,1,2,0,4
4,5,46,272,4,4,1,5,1,4
3,3,29,404,4,3,1,3,1,3
5,5,67,871,2,4,1,5,1,5
3,4,48,517,3,2,1,4,1,3
3,3,18,2121,3,2,1,3,1,3
2,2,38,631,4,5,0,5,1,5
4,4,58,1389,4,4,1,5,1,4
3,3,35,413,4,3,0,1,1,1
3,3,48,1788,4,4,1,3,1,4
4,4,25,696,5,4,0,1,1,1
3,1,57,500,4,2,1,5,0,5
3,3,39,120,1,2,1,2,0,2
1,1,22,328,1,4,0,1,1,1
3,2,57,110,3,2,1,3,1,2
2,2,24,594,3,2,1,1,0,4
3,3,36,398,1,4,0,1,1,1
4,5,18,867,5,5,1,5,1,5
2,4,54,2234,5,4,1,4,1,5
0,5,43,1563,2,4,1,5,1,2
3,3,50,116,5,2,0,1,1,1
4,4,24,407,3,4,1,5,0,3
2,2,42,816,3,3,1,3,1,3
3,2,25,705,3,1,1,1,1,3
3,4,41,2688,4,5,1,5,1,4
5,4,55,486,4,5,1,5,1,4
2,2,36,300,4,3,1,3,0,3
1,5,23,2743,4,4,1,5,1,5
2,2,54,602,4,4,1,3,0,3
2,4,56,447,3,3,1,4,1,3
4,1,49,533,4,5,1,2,1,4
5,4,72,134,4,4,1,4,1,5
1,5,63,311,2,3,1,4,0,2
5,5,51,2300,4,3,1,5,1,4
4,3,45,1325,4,4,1,2,1,4
5,4,51,1962,5,5,1,5,1,5
2,4,47,1175,2,2,1,3,1,2
2,1,26,721,4,1,0,1,1,4
3,5,47,1568,5,5,1,4,1,5
4,4,22,909,1,1,1,3,1,3
3,4,48,1066,4,2,1,4,0,2
5,5,50,989,3,3,1,5,1,3
2,2,20,867,3,2,1,4,0,2
2,2,66,2288,4,2,1,2,1,2
3,3,15,1089,2,2,1,2,0,4
3,3,23,304,4,5,1,5,0,5
2,2,22,541,4,4,0,5,1,5
2,4,33,2586,5,3,1,4,1,5
1,1,24,2519,5,3,1,3,0,3
2,2,17,328,2,4,1,5,0,5
0,5,53,108,4,5,1,4,1,4
3,5,27,2916,4,3,1,5,1,5
2,2,17,160,3,2,1,2,1,3
5,5,32,277,2,3,1,5,1,5
2,2,19,337,1,2,1,2,0,2
4,4,67,1192,3,5,1,5,0,5
5,4,37,1438,4,3,1,4,1,4
3,4,49,966,5,5,1,5,1,5
3,3,25,95,4,4,0,5,1,4
3,5,46,2296,5,5,1,5,1,4
4,4,36,583,4,3,1,1,0,1
5,3,65,257,5,4,1,3,1,5
3,5,43,1426,4,3,1,4,1,4
3,3,24,1187,4,2,1,3,1,3
3,3,48,1066,4,1,1,3,1,3
2,4,38,3258,2,3,1,4,1,2
3,3,49,145,4,2,1,2,1,2
2,5,22,127,2,2,1,4,1,5
4,5,50,2737,4,3,1,5,1,4
2,2,44,679,4,2,0,4,1,3
2,2,27,1464,4,4,0,2,1,2
3,5,30,657,5,1,1,5,1,5
5,4,33,544,5,5,1,4,1,4
4,4,57,868,4,3,1,5,1,4
2,3,7,612,4,3,1,4,0,4
4,4,30,1814,4,1,1,4,0,4
3,4,55,1642,5,4,1,5,1,5
2,2,42,594,4,3,1,2,0,2
2,2,57,936,4,4,1,5,0,5
4,4,55,301,5,3,1,3,0,4
0,0,23,399,1,5,1,3,1,3
3,2,57,259,3,2,1,4,1,3
3,3,20,1091,3,4,0,3,1,3
1,3,37,405,1,1,1,3,1,1
5,2,45,3446,5,5,1,2,1,5
4,4,49,1923,5,5,1,5,1,5
3,3,64,1118,5,5,1,1,0,1
1,2,46,2134,1,2,1,2,1,1
0,0,10,1892,4,2,1,4,0,3
4,4,65,337,5,5,0,4,1,4
3,3,49,1558,1,3,1,3,0,1
3,3,16,229,4,3,0,2,1,2
5,5,51,1235,4,2,1,5,0,5
2,2,41,937,4,1,1,2,0,2
5,5,39,3399,4,3,1,5,1,4
2,2,31,1024,1,3,0,3,1,3
5,5,30,2672,4,4,1,5,1,5
4,4,12,1013,1,5,1,4,0,3
5,3,51,403,5,1,1,2,1,5
3,3,68,515,4,4,1,4,0,4
5,5,38,444,4,4,1,5,1,5
3,4,13,1065,2,4,1,4,0,4
2,2,19,334,4,3,1,5,0,5
4,4,29,919,4,3,0,5,1,5
3,2,58,529,4,1,1,1,1,4
0,5,35,1990,1,4,1,5,1,1
1,4,64,693,1,3,1,3,1,1
3,1,66,2583,3,1,1,1,0,5
1,1,24,2959,3,2,1,1,1,1
2,3,50,157,5,4,1,4,1,5
3,3,11,526,5,3,1,4,0,4
3,3,37,666,4,5,0,4,1,3
5,5,64,315,5,3,1,5,1,5
2,2,54,2608,2,2,1,3,1,2
4,4,46,406,5,4,0,1,1,1
3,3,25,1089,2,5,1,4,0,5
2,2,45,255,2,1,1,2,0,4
2,4,53,332,1,2,1,3,1,1
3,4,25,376,5,3,1,4,1,4
2,3,12,837,5,4,1,3,0,2
4,4,59,205,1,3,1,4,1,4
